author,title,genre,token_count,sentence_count,avg_sentence_length,avg_syllables
"Eucken, Christoph",Der Sinn und Wert des Lebens. 2. Fassung 1914,Philosophie und Religion,187,6,31.16666666666667,1.941712204007286
"Schopenhauer, Arthur",Über die Weiber,Philosophie und Religion,965,22,43.86363636363637,1.698224852071006
"Eucken, Christoph",Der Sinn und Wert des Lebens. 1. Fassung 1907,Philosophie und Religion,696,18,38.66666666666666,1.7761832829808661
"Maurer, August",Leipzig im Taumel,Kultur und Kunst,482,11,43.81818181818182,1.8833333333333333
"Bergson, Henri",Materie und Gedächtnis,Philosophie und Religion,1405,46,30.54347826086957,1.8281786941580755
"Stirner, Max",Der Einzige und sein Eigentum,Philosophie und Religion,611,34,17.970588235294112,1.7778904665314401
"Heilborn, Ernst",Zwischen zwei Revolutionen. Band 1,Geschichte,1531,49,31.244897959183675,1.9647577092511013
"Schopenhauer, Arthur",Über das Geistersehn und was damit zusammenhängt,Philosophie und Religion,487,9,54.111111111111114,1.791111111111111
"Henne am Rhyn, Otto",Die Frau in der Kulturgeschichte,Geschichte,1993,69,28.88405797101449,1.6639719976664722
"Reventlow, Franziska zu",Autobiographisches / Briefe,Biographie,3526,184,19.16304347826087,1.833718244803695
"Helbing, Franz",Die Tortur. Zweiter Teil: Von der Reformation bis zur Gegenwart,Geschichte,2330,84,27.73809523809524,1.7050005995922772
"Helbing, Franz",Die Tortur. Erster Teil: Vom Altertum bis zur Reformation,Geschichte,580,19,30.52631578947368,1.8193082085699535
"Richter, Jean Paul",Selberlebensbeschreibung,Biographie,1502,38,39.526315789473685,1.6716016150740243
"Schopenhauer, Arthur",Die Welt als Wille und Vorstellung. Band I,Philosophie und Religion,350,9,38.888888888888886,1.8642335766423357
"Henne am Rhyn, Otto",Prostitution und Mädchenhandel,Geschichte,435,11,39.54545454545455,1.9
"Ranke von, Leopold",Savonarola - Geschichte des Don Carlos - Die großen Mächte,Biographie,350,14,25.0,1.8469529085872576
